;LocaleID,LCID,Fallback1,Fallback2
0009,0000,0009,0009
000C,0000,0009,0009
0007,0000,0009,0009
0010,0000,0009,0009
000A,0000,0009,0009
0404,0000,0009,0009
0804,0000,0009,0009
0012,0000,0009,0009
0011,0000,0009,0009
0003,0000,000A,0009
0005,0000,0009,0009
0052,0000,0009,0009
0006,0000,0009,0009
0008,0000,0009,0009
000B,0000,0009,0009
000E,0000,0009,0009
0013,0000,0009,0009
0014,0000,0009,0009
0015,0000,0009,0009
0016,0000,0009,0009
0018,0000,0009,0009
0019,0000,0009,0009
001A,0000,0009,0009
001B,0000,0005,0009
001D,0000,0009,0009
001F,0000,0009,0009
0024,0000,0009,0009
0025,0000,0009,0009
002D,0000,000A,0009
0001,0000,0009,0009
0002,0000,0009,0009
0409,0000,0009,0009
0809,0000,0009,0009
000D,0000,0009,0009
000F,0000,0009,0009
0416,0000,0016,0009
0816,0000,0016,0009
001E,0000,0009,0009
0020,0000,0009,0009
0021,0000,0009,0009
0022,0000,0019,0009
0023,0000,0019,0009
0026,0000,0019,0009
0027,0000,0019,0009
0029,0000,0009,0009
002A,0000,0009,0009
0036,0000,0009,0009
0039,0000,0009,0009
003A,0000,0009,0009
003E,0000,0009,0009
0050,0000,0009,0009
000A,0456,000A,0009
000C,046E,000C,0009
0010,041C,0010,0009
0013,0462,0013,0009
0804,1004,0009,0009
0404,0C04,0009,0009
0404,1404,0009,0009
